EMD_CD,COL_ADM_SE,EMD_NM,SGG_OID
27140108,27140,지저동,93.000000000000000
27140110,27140,검사동,91.000000000000000
27140109,27140,입석동,76.000000000000000
27140107,27140,도동,69.000000000000000
27140106,27140,불로동,51.000000000000000
27140131,27140,내곡동,90.000000000000000
27140129,27140,사복동,74.000000000000000
27140130,27140,숙천동,61.000000000000000
27710310,27710,가창면,708.000000000000000
27710380,27710,구지면,706.000000000000000
27710265,27710,현풍읍,691.000000000000000
27710259,27710,유가읍,369.000000000000000
27710262,27710,옥포읍,36.000000000000000
27710253,27710,논공읍,35.000000000000000
27710250,27710,화원읍,34.000000000000000
27290123,27290,대곡동,6.000000000000000
27290119,27290,대천동,67.000000000000000
27290118,27290,유천동,41.000000000000000
27290120,27290,월성동,66.000000000000000
27290121,27290,월암동,56.000000000000000
27290109,27290,장동,8.000000000000000
27290114,27290,본리동,4.000000000000000
27290110,27290,장기동,31.000000000000000
27290101,27290,성당동,20.000000000000000
27170102,27170,비산동,10.000000000000000
27170104,27170,상리동,9.000000000000000
27230129,27230,금호동,81.000000000000000
27110107,27110,삼덕동3가,294.000000000000000
27110157,27110,대봉동,292.000000000000000
27110104,27110,동인동4가,284.000000000000000
27110103,27110,동인동3가,246.000000000000000
27140101,27140,신암동,81.000000000000000
27140102,27140,신천동,53.000000000000000
27200102,27200,봉덕동,13.000000000000000
27200101,27200,이천동,10.000000000000000
27230106,27230,침산동,813.000000000000000
27230102,27230,칠성동2가,113.000000000000000
27230111,27230,산격동,770.000000000000000
27230110,27230,대현동,769.000000000000000
27230101,27230,칠성동1가,85.000000000000000
27260112,27260,지산동,353.000000000000000
27260101,27260,범어동,371.000000000000000
27260109,27260,상동,370.000000000000000
27260111,27260,두산동,369.000000000000000
27260107,27260,황금동,368.000000000000000
27260110,27260,파동,363.000000000000000
27260103,27260,수성동1가,2308.000000000000000
27260106,27260,수성동4가,356.000000000000000
27260108,27260,중동,2310.000000000000000
27260113,27260,범물동,354.000000000000000
27260122,27260,삼덕동,2306.000000000000000
27140127,27140,금강동,64.000000000000000
27260115,27260,매호동,365.000000000000000
27260116,27260,성동,364.000000000000000
27260119,27260,욱수동,378.000000000000000
27260117,27260,사월동,1346.000000000000000
27260118,27260,신매동,1028.000000000000000
27260127,27260,대흥동,711.000000000000000
27260114,27260,시지동,709.000000000000000
27140134,27140,도학동,88.000000000000000
27140133,27140,진인동,86.000000000000000
27140132,27140,능성동,59.000000000000000
27140123,27140,각산동,80.000000000000000
27140122,27140,매여동,67.000000000000000
27140119,27140,용계동,57.000000000000000
27140121,27140,상매동,56.000000000000000
27140120,27140,율암동,55.000000000000000
27140118,27140,율하동,52.000000000000000
27140111,27140,방촌동,65.000000000000000
27140142,27140,중대동,94.000000000000000
27140137,27140,용수동,89.000000000000000
27140135,27140,백안동,87.000000000000000
27140141,27140,신용동,85.000000000000000
27140145,27140,지묘동,83.000000000000000
27140139,27140,미대동,82.000000000000000
27140136,27140,미곡동,73.000000000000000
27140140,27140,내동,54.000000000000000
27230114,27230,동변동,99.000000000000000
27230131,27230,연경동,434.000000000000000
27230115,27230,서변동,771.000000000000000
27140138,27140,신무동,72.000000000000000
27230126,27230,태전동,811.000000000000000
27230120,27230,학정동,805.000000000000000
27230119,27230,동호동,804.000000000000000
27230118,27230,읍내동,797.000000000000000
27230128,27230,팔달동,100.000000000000000
27230123,27230,구암동,102.000000000000000
27230127,27230,매천동,88.000000000000000
27230124,27230,동천동,94.000000000000000
27710256,27710,다사읍,33.000000000000000
27710330,27710,하빈면,709.000000000000000
27720310,27720,소보면,38.000000000000000
27720360,27720,산성면,82.000000000000000
27720340,27720,우보면,62.000000000000000
27720370,27720,삼국유사면,33.000000000000000
27720350,27720,의흥면,39.000000000000000
27720330,27720,부계면,34.000000000000000
27720320,27720,효령면,35.000000000000000
27720250,27720,군위읍,37.000000000000000
